2026-04-27 15:37:44 | INFO     | memory | Redis connected for session memory
2026-04-27 15:40:04 | INFO     | memory | Redis connected for session memory
2026-04-27 15:40:04 | WARNING  | db | PostgreSQL unavailable, conversation logs disabled: [Errno 111] Connection refused
2026-04-27 15:41:56 | INFO     | memory | Redis connected for session memory
2026-04-27 15:41:56 | WARNING  | db | PostgreSQL unavailable, conversation logs disabled: [Errno 111] Connection refused
2026-04-27 15:51:44 | INFO     | memory | Redis connected for session memory
2026-04-27 15:51:44 | INFO     | db | PostgreSQL connected; conversation_logs table ready
2026-04-27 15:52:50 | INFO     | chat | [21091f42-4bad-4452-b115-53fa2a2912ed] sector=retail msg=Track Order...
2026-04-27 15:52:51 | INFO     | chat | [21091f42-4bad-4452-b115-53fa2a2912ed] intent=order_tracking conf=0.98
2026-04-27 15:52:51 | INFO     | rag | RAG: query='Track Order' sector=retail found=2 chunks
2026-04-27 15:52:52 | INFO     | chat | [21091f42-4bad-4452-b115-53fa2a2912ed] replied in 1112.91ms tokens=844
2026-04-27 15:52:53 | INFO     | chat | [21091f42-4bad-4452-b115-53fa2a2912ed] sector=retail msg=xczhzdfsgh...
2026-04-27 15:52:54 | INFO     | chat | [21091f42-4bad-4452-b115-53fa2a2912ed] intent=general_query conf=0.8
2026-04-27 15:52:54 | INFO     | rag | RAG: query='xczhzdfsgh' sector=retail found=2 chunks
2026-04-27 15:52:54 | INFO     | chat | [21091f42-4bad-4452-b115-53fa2a2912ed] replied in 1014.81ms tokens=908
2026-04-27 15:52:56 | INFO     | chat | [21091f42-4bad-4452-b115-53fa2a2912ed] sector=retail msg=sdfghsghsghnb...
2026-04-27 15:52:56 | INFO     | chat | [21091f42-4bad-4452-b115-53fa2a2912ed] intent=general_query conf=0.6
2026-04-27 15:52:56 | INFO     | rag | RAG: query='sdfghsghsghnb' sector=retail found=2 chunks
2026-04-27 15:52:57 | INFO     | chat | [21091f42-4bad-4452-b115-53fa2a2912ed] replied in 1060.86ms tokens=976
2026-04-27 15:52:58 | INFO     | chat | [21091f42-4bad-4452-b115-53fa2a2912ed] sector=retail msg=541561...
2026-04-27 15:52:59 | INFO     | chat | [21091f42-4bad-4452-b115-53fa2a2912ed] intent=order_tracking conf=0.98
2026-04-27 15:52:59 | INFO     | rag | RAG: query='541561' sector=retail found=2 chunks
2026-04-27 15:53:00 | INFO     | chat | [21091f42-4bad-4452-b115-53fa2a2912ed] replied in 1379.87ms tokens=1111
2026-04-27 15:53:03 | INFO     | chat | [21091f42-4bad-4452-b115-53fa2a2912ed] sector=retail msg=aedhb851gb s...
2026-04-27 15:53:04 | INFO     | chat | [21091f42-4bad-4452-b115-53fa2a2912ed] intent=general_query conf=0.85
2026-04-27 15:53:04 | INFO     | rag | RAG: query='aedhb851gb s' sector=retail found=2 chunks
2026-04-27 15:53:04 | INFO     | chat | [21091f42-4bad-4452-b115-53fa2a2912ed] replied in 1012.09ms tokens=1130
2026-04-27 15:57:41 | INFO     | memory | Redis connected for session memory
2026-04-27 15:57:41 | INFO     | db | PostgreSQL connected; conversation_logs table ready
2026-04-27 15:57:55 | INFO     | memory | Redis connected for session memory
2026-04-27 15:57:55 | INFO     | db | PostgreSQL connected; conversation_logs table ready
2026-04-27 15:58:57 | INFO     | chat | [f0686bb2-35b6-4464-8664-7fe622d327de] sector=tourism msg=Transport...
2026-04-27 15:58:58 | INFO     | chat | [f0686bb2-35b6-4464-8664-7fe622d327de] intent=transport_info conf=0.98
2026-04-27 15:59:05 | INFO     | chat | [f0686bb2-35b6-4464-8664-7fe622d327de] in=Transport | out=Namaste! I’m Riya, your personal WanderIndia Concierge, and I absolutely *love* helping people craft incredible travel e | latency=7673.85ms tokens=1176
2026-04-27 16:20:22 | INFO     | memory | Redis connected for session memory
2026-04-27 16:20:22 | INFO     | db | PostgreSQL connected; conversation_logs table ready
2026-04-27 16:20:33 | INFO     | memory | Redis connected for session memory
2026-04-27 16:20:33 | INFO     | db | PostgreSQL connected; conversation_logs table ready
2026-04-27 16:21:22 | INFO     | memory | Redis connected for session memory
2026-04-27 16:21:22 | INFO     | db | PostgreSQL connected; conversation_logs table ready
2026-04-27 16:21:37 | INFO     | memory | Redis connected for session memory
2026-04-27 16:21:37 | INFO     | db | PostgreSQL connected; conversation_logs table ready
2026-04-27 16:21:48 | INFO     | memory | Redis connected for session memory
2026-04-27 16:21:48 | INFO     | db | PostgreSQL connected; conversation_logs table ready
2026-04-27 16:22:10 | INFO     | memory | Redis connected for session memory
2026-04-27 16:22:10 | INFO     | db | PostgreSQL connected; conversation_logs table ready
2026-04-27 16:22:39 | INFO     | memory | Redis connected for session memory
2026-04-27 16:22:39 | INFO     | db | PostgreSQL connected; conversation_logs table ready
2026-04-27 16:23:04 | INFO     | memory | Redis connected for session memory
2026-04-27 16:23:04 | INFO     | db | PostgreSQL connected; conversation_logs table ready
2026-04-27 16:23:26 | INFO     | memory | Redis connected for session memory
2026-04-27 16:23:26 | INFO     | db | PostgreSQL connected; conversation_logs table ready
2026-04-27 16:24:23 | INFO     | chat | [158cbfc5-4952-4d83-9c90-00da1f7b9bea] sector=retail lang=HINDI msg=Where is my order located?...
2026-04-27 16:24:23 | INFO     | chat | [158cbfc5-4952-4d83-9c90-00da1f7b9bea] intent=order_tracking conf=0.98
2026-04-27 16:24:23 | INFO     | rag | RAG: query='Where is my order located?' sector=retail found=2 chunks
